Track Name;Album Name;Artist Name(s);Release Date;Duration (ms);Popularity;Explicit;Added By;Added At;Genres;Record Label;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;genres_clean;text_combined;
ternyata tanpamu cantik;ambiVert;raisa;24/06/2025;207091.0;49.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.465909090909091;0.6478656976149043;0.7279615328573511;0.109375;0.6804004232945638;2,13E+11;0.10452354087598728;0.6504559270516718;0.8627227892893962;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
okay not okay;ambiVert;raisa;24/06/2025;209063.0;46.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.42148760330578516;0.7174736411096324;0.8038030016027977;0.08385416666666667;0.5105503337875867;0.0;0.6840701610421581;0.6231003039513678;0.5676053460141731;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
awal kisah selamanya feat barsena bestandhi;ambiVert;raisa;;;;;;;;;0.6239669421487604;0.6795987306786775;0.7633687891592599;0.045729166666666675;0.18994572696672482;0.0;0.12196122679249154;0.49037487335359675;0.561837669152681;; raisa;
paling mahir;ambiVert;raisa;24/06/2025;255888.0;55.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.359504132231405;0.37864673968676427;0.6682208946524844;0.027395833333333335;0.9025120788036877;0.18181818181818182;0.09836906349369166;0.1519756838905775;0.733521254957323;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
waiting;ambiVert;raisa;24/06/2025;194000.0;45.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.3460743801652893;0.14832633841744292;0.3536354363980767;0.04645833333333334;0.968844066421797;2,09E+10;0.08913734742024823;0.1651469098277609;0.35563625556102496;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
tetap bukan kamu feat rony parulian;ambiVert;raisa;;;;;;;;;0.6239669421487604;0.6795987306786775;0.7633687891592599;0.045729166666666675;0.18994572696672482;0.0;0.12196122679249154;0.49037487335359675;0.561837669152681;; raisa;
terserah;ambiVert;raisa;24/06/2025;240473.0;61.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:19:57Z;indonesian pop indonesian indonesian jazz;Juni Records;0.2851239669421488;0.3018732725969905;0.6933192481422119;0.038125000000000006;0.9708541266526488;1,10E+11;0.07159708688070571;0.4164133738601824;0.2970585776778832;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
tak berharap lagi;Tak Berharap Lagi;raisa;14/12/2023;237769.0;60.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:00Z;indonesian pop indonesian indonesian jazz;Juni Records;0.5929752066115702;0.4134507114341283;0.739581815532566;0.028125;0.7839185251834315;3,60E+10;0.09426607857216124;0.3586626139817629;0.5245753188011406;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
cinta sederhana;It's Personal;raisa;17/03/2022;203000.0;37.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.3078512396694215;0.32336984338212715;0.6818446743406674;0.03270833333333333;0.8753762656871883;0.0010606060606060607;0.07087906451943789;0.24518743667679838;0.5907689307042882;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
teman biasa;It's Personal;raisa;17/03/2022;247000.0;31.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.597107438016529;0.4953424096632204;0.7061052018067902;0.05458333333333334;0.4401982257077738;2,69E+10;0.04667145348240845;0.5886524822695035;0.7617327178667955;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa;
