Track Name;Album Name;Artist Name(s);Release Date;Duration (ms);Popularity;Explicit;Added By;Added At;Genres;Record Label;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;genres_clean;text_combined
kutukan cinta pertama;It's Personal;raisa;17/03/2022;229000.0;34.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.649;0.534;-6.24;0.0571;0.785;0.000223;0.275;0.502;135.914;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
ragu;It's Personal;raisa;17/03/2022;252000.0;29.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.514;0.601;-6.582;0.0427;0.266;0.000884;0.192;0.201;179.826;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
long nights slow mornings;It's Personal;raisa;17/03/2022;206083.0;29.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.387;0.441;-10.166;0.0312;0.719;3.34e-05;0.12;0.213;125.945;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
tentang dirimu;It's Personal;raisa;17/03/2022;240000.0;32.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.522;0.369;-8.4;0.0335;0.851;0.00114;0.118;0.143;129.817;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
you better believe feat kara chenoa;It's Personal;raisa;;;;;;;;;0.604;0.684;-6.054;0.0439;0.189;0.0;0.132;0.484;120.985;; raisa
berdamai;It's Personal;raisa;17/03/2022;276343.0;50.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.476;0.281;-7.855;0.0288;0.913;4.09e-05;0.158;0.377;137.114;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
love let;It's Personal;raisa;17/03/2022;243000.0;49.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.489;0.477;-7.618;0.0327;0.59;3.22e-06;0.136;0.107;127.717;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
jangan cepat berlalu;It's Personal;raisa;17/03/2022;245346.0;35.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:09Z;indonesian pop indonesian indonesian jazz;Juni Records;0.509;0.264;-11.505;0.0294;0.915;0.000146;0.157;0.3;133.938;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
kali kedua;Kali Kedua;raisa;04/08/2016;257252.0;44.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:12Z;indonesian pop indonesian indonesian jazz;Juni Records;0.518;0.517;-6.206;0.035;0.82;1.54e-05;0.116;0.313;137.867;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
melangkah;Raisa;raisa;02/05/2011;192946.0;40.0;FALSE;316zht4gzjuajvqt5augusdbgtnm;2026-01-22T02:20:15Z;indonesian pop indonesian indonesian jazz;PT. Universal Music Indonesia Distributed Labels;0.639;0.66;-7.697;0.0519;0.204;0.0;0.345;0.625;99.968;indonesian pop indonesian indonesian jazz;indonesian pop indonesian indonesian jazz raisa
